machineName:sensorName,operationalHigh,operationalLow
AC 1:COMP DISCH PRES,65.0,20.0
AC 1:COMP DISCH SUPERHT,1.0E50,-1.0E50
AC 1:COMP DISCH TEMP,155.0,70.0
AC 1:COMP DP,1.0E50,-1.0E50
AC 1:COMP LO FLTR DP,1.0E50,-1.0E50
AC 1:COMP LO SUMP TEMP,170.0,115.0
AC 1:COMP OIL LVL,2.0,0.0
AC 1:COMP OIL PRES,150.0,95.0
AC 1:COMP RUNNING,1.0,0.0
AC 1:COMP SUCT PRES,7.0,0.3
AC 1:COMP SUCT SUPERHT,1.0E50,-1.0E50
AC 1:COMP SUCT TEMP,80.0,37.0
AC 1:COND EFFCTVNS,1.0E50,-1.0E50
AC 1:COND SW IN PRES,75.0,20.0
AC 1:COND SW IN TEMP,100.0,28.0
AC 1:COND SW OUT TEMP,102.0,28.0
AC 1:COND SW STRNR DP,8.0,0.0
AC 1:CTRL VLV POSN,125.0,-5.0
AC 1:CW CAPACITY,200.0,20.0
AC 1:CW DIF TEMP,1.0E50,-1.0E50
AC 1:CW FLW,1000.0,180.0
AC 1:CW IN PRES,125.0,0.0
AC 1:CW IN TEMP,53.0,39.0
AC 1:CW OUT TEMP,120.0,39.0
AC 1:CW PMP DISCH PRES,110.0,20.0
AC 1:CW PMP SUCT PRES,200.0,-50.0
AC 1:DISCH SATURTN TEMP,1.0E50,-1.0E50
AC 1:DISCH SATURTN-LIQ TEMP,1.0E50,-1.0E50
AC 1:EVAP EFFCTVNS,1.0E50,-1.0E50
AC 1:HOT GAS BYP POSN 1,1.0,0.0
AC 1:HOT GAS BYP POSN 2,1.0,0.0
AC 1:LO FROM COMP TEMP,300.0,0.0
AC 1:LO TO BRGs TEMP,160.0,0.0
AC 1:MACHINE STATUS,1.0,0.0
AC 1:MOISTR INDCTR,1.0,0.0
AC 1:MOT CURRENT,103.0,36.0
AC 1:MOT SETPT,100.0,0.0
AC 1:PRV POSN,135.0,0.0
AC 1:REFRGRNT COND LIQ TEMP,300.0,0.0
AC 1:REFRGRNT EVAP LIQ TEMP,100.0,37.0
AC 1:REFRGRNT LVL,100.0,0.0
AC 1:REFRGRNT MONITOR,5.0,0.0
AC 1:RESTART AVAIL,1.0,0.0
AC 1:STATUS ON,1.0,0.0
AC 1:SUCT SATURTN TEMP,1.0E50,-1.0E50
AC 1:SUMRY FAULT,1.0,0.0
AC 1:TEMP SETPT,100.0,0.0
AC 1:TIMER MTR,1.0E50,0.0
AC 1:VGD POSN,115.0,8.0
AC 2:COMP DISCH PRES,65.0,20.0
AC 2:COMP DISCH SUPERHT,1.0E50,-1.0E50
AC 2:COMP DISCH TEMP,155.0,70.0
AC 2:COMP DP,1.0E50,-1.0E50
AC 2:COMP LO FLTR DP,1.0E50,-1.0E50
AC 2:COMP LO SUMP TEMP,170.0,115.0
AC 2:COMP OIL LVL,2.0,0.0
AC 2:COMP OIL PRES,150.0,95.0
